,trades,tradeAmount,currencies,contracts,exchange.fullName
0,68785599,931584327172.0623,40143,57555,Uniswap
1,8183620,171677332813.7874,1864,2407,SushiSwap
2,1751660,137564925931.4078,840,1721,<Uniswap v2>
3,568420,33321933306.151443,1021,3,Zerox Exchange
4,99511,23440189492.228863,17,7,Curve
5,713386,19150581943.807106,305,1,Bancor Network
6,1110774,18299474478.287422,720,1369,Balancer
7,106244,17698670448.98902,12,12,Dodo
8,259721,14249201717.24958,62,2,<Zerox Exchange v2>
9,48037,13315946159.848576,18,11,<Curve>
10,181172,9800700559.55483,232,2,1inch
11,100334,8893685362.929068,3,1,dYdX
12,210887,7040444633.376233,148,205,1inch Liquidity Protocol
13,71788,2513646274.4620028,93,2,Kyber Network
14,338825,1601789067.826247,29,81,CRO DeFi Swap
15,46615,1577320648.4779022,1017,1,<Zerox Exchange v3>
16,29218,1411282800.322262,25,1,Tokenlon
17,40382,1205833035.8776217,855,1,Matcha
18,2293,289753983.4690598,3,2,Cofix
19,43398,202003665.42830873,203,261,Mooniswap
20,4320,200145372.78172386,436,1,AirSwap
21,42217,179371787.93989035,54,69,SakeSwap
22,9189,42857480.55584234,13,11,Cream Pool Token
23,2506,40142365.24042522,7,1,Bamboo Relay
24,13559,28792929.94409579,9,9,<Smart DeFi>
25,7689,28259154.48212971,71,1,IDEX
26,11020,26263898.6870473,29,30,FEGex
27,9343,25523000.46266191,19,21,<Uniswap>
28,10433,22380237.562556334,43,48,<Balancer Pool Token>
29,7978,13050827.991139723,395,2,EtherDelta
30,345,7675807.821515682,2,1,Oasis
31,7677,6462413.7200263245,25,26,Miniswap
32,2818,5478813.488649036,26,28,CellSwap
33,1428,3565904.3983068066,6,1,SingularX
34,441,2890940.4464994953,4,2,<Dodo>
35,2537,2534710.597718503,17,21,<Mooniswap>
36,448,1816195.20848581,9,2,Radar Relay
37,7421,1781748.3495643542,6,2,TokenTrove
38,1556,1414492.9031214048,9,11,TacoSwap
39,10,245111.22422690172,5,4,S.Finance
40,142,210284.70111902646,4,1,SwitchDex
41,608,143150.50720528045,15,33,ZeusSwap
42,469,134185.4519071639,4,6,FFFSwap
43,42,121734.77285490364,7,1,LedgerDex
44,3,44731.02973859763,1,1,dex.blue
45,253,43785.03623767311,9,12,SwapX
46,489,26464.617118217884,8,6,BestSwap
47,6,8290.91302029815,2,1,StarBitEx
48,68,7849.553949346035,4,3,HiSwap
49,42,4078.12110138368,2,2,<DDEX Hydro v1.1>
50,6,3499.5218235728025,2,2,<Uniswap v3>
51,11,727.1588455744941,4,2,<EtherDelta>
