,count,tradeAmount,Trading Pair
0,3074420,172002293158.76556,WETH/USDC
1,2713255,170634721406.49026,USDC/WETH
4,2574017,65536039294.19888,USDT/WETH
3,2494699,66822774503.62699,WETH/USDT
14,1331083,8217408265.124976,WETH/SHIB
6,960203,35165596393.17288,WETH/DAI
5,876994,35397946266.80798,DAI/WETH
13,634865,8305974076.53046,SHIB/WETH
8,411293,29231504252.571968,WETH/WBTC
7,378304,29924842646.014236,WBTC/WETH
9,296313,23997242711.466805,USDT/USDC
10,274015,23985471314.15563,USDC/USDT
34,239640,3669944411.172251,WETH/LOOKS
26,225694,5272831720.473973,UNI/WETH
15,224365,7741297022.844175,SUSHI/WETH
33,217602,3686104089.1352987,LOOKS/WETH
42,213858,2832325508.368571,USDC/HEX
22,211934,5510132429.979556,LINK/WETH
16,206567,7484472696.508812,WETH/SUSHI
25,202900,5323438108.949926,WETH/LINK
